source,metric_path,metric,value
experiments\20260518_162851_phase2_core_ensemble_summary.json,hill_recipe[1].auc,auc,0.9399915103195327
experiments\20260518_191326_phase2_plus_tablelog_ensemble_summary.json,hill_recipe[1].auc,auc,0.9399915103195327
experiments\20260518_191305_phase2_cat_table_ensemble_summary.json,rank_auc,rank_auc,0.9399717664131644
experiments\20260518_162337_phase2_table_stratified_hgb\summary.json,oof_auc,oof_auc,0.9395405620643671
experiments\20260518_162851_phase2_core_ensemble_summary.json,hill_recipe[0].auc,auc,0.9395405620643671
experiments\20260518_191326_phase2_plus_tablelog_ensemble_summary.json,hill_recipe[0].auc,auc,0.9395405620643671
experiments\20260519_153956_phase6_lambdarank\summary.json,rankers[2].oof_auc,oof_auc,0.9394783443888839
experiments\20260519_143756_phase3_specialists\summary.json,specialists[6].specialist_auc,specialist_auc,0.93722062757685
experiments\20260518_191326_phase2_plus_tablelog_ensemble_summary.json,logit_auc,logit_auc,0.9369537805490095
experiments\20260518_191326_phase2_plus_tablelog_ensemble_summary.json,rank_auc,rank_auc,0.9362280776044201
experiments\20260518_191326_phase2_plus_tablelog_ensemble_summary.json,mean_auc,mean_auc,0.9360139839513404
experiments\20260518_162851_phase2_core_ensemble_summary.json,logit_auc,logit_auc,0.9347774235114485
experiments\20260518_174444_phase2_table_stratified_logistic\summary.json,oof_auc,oof_auc,0.9340963786865563
experiments\20260518_162851_phase2_core_ensemble_summary.json,rank_auc,rank_auc,0.9332733022728001
experiments\20260518_162851_phase2_core_ensemble_summary.json,mean_auc,mean_auc,0.9330144032673016
experiments\20260519_160100_phase6_xgbrank\summary.json,rankers[0].oof_auc,oof_auc,0.9309783257475881
experiments\20260519_143756_phase3_specialists\summary.json,specialists[3].specialist_auc,specialist_auc,0.9292996135891511
experiments\20260519_153956_phase6_lambdarank\summary.json,rankers[1].oof_auc,oof_auc,0.9291507844191181
experiments\20260519_143756_phase3_specialists\summary.json,specialists[3].base_auc,base_auc,0.9281626802858635
experiments\20260519_143756_phase3_specialists\summary.json,specialists[6].base_auc,base_auc,0.9277855476436018
experiments\20260519_143756_phase3_specialists\summary.json,specialists[5].specialist_auc,specialist_auc,0.9269828765305653
experiments\20260519_143756_phase3_specialists\summary.json,specialists[7].specialist_auc,specialist_auc,0.9266550552949875
experiments\20260519_143756_phase3_specialists\summary.json,specialists[7].base_auc,base_auc,0.9257211124380362
experiments\20260519_143756_phase3_specialists\summary.json,specialists[5].base_auc,base_auc,0.9257087224126634
experiments\20260519_153956_phase6_lambdarank\summary.json,rankers[0].oof_auc,oof_auc,0.9243909415627458
experiments\20260519_152759_validation_reset\summary.json,best_by_raceyear_p10.Year_macro_auc,Year_macro_auc,0.9242769991941571
experiments\20260518_155711_lgbm_logistic_ensemble_summary.json,rank_auc,rank_auc,0.9203140247135531
experiments\20260518_155711_lgbm_logistic_ensemble_summary.json,logit_auc,logit_auc,0.9200439188269655
experiments\20260518_155711_lgbm_logistic_ensemble_summary.json,hill_auc,hill_auc,0.9186841482023516
experiments\20260518_155711_lgbm_logistic_ensemble_summary.json,hill_recipe[2].auc,auc,0.9186841482023516
experiments\20260518_155711_lgbm_logistic_ensemble_summary.json,mean_auc,mean_auc,0.9185343836828581
experiments\20260518_155711_lgbm_logistic_ensemble_summary.json,hill_recipe[1].auc,auc,0.9185343836828581
experiments\20260518_191817_phase2_table_racecv_race_hgb\summary.json,oof_auc,oof_auc,0.9155942709800001
experiments\20260519_152759_validation_reset\summary.json,best_by_raceyear_p10.Year_p10_auc,Year_p10_auc,0.9144751932941031
experiments\20260520_143243_catboost_diversity_smoke\meta_seed00_stratified_rs0p1_bt0p0_rsm1p0.json,subgroup.Year_macro_auc,Year_macro_auc,0.9131479185091599
experiments\20260520_143243_catboost_diversity_smoke\summary.json,models[0].subgroup.Year_macro_auc,Year_macro_auc,0.9131479185091599
experiments\20260518_155711_lgbm_logistic_ensemble_summary.json,hill_recipe[0].auc,auc,0.9124294405737313
experiments\20260518_154412_s0_stratified\summary.json,models.logistic.oof_auc,oof_auc,0.9124294405737313
experiments\20260519_143756_phase3_specialists\summary.json,specialists[2].specialist_auc,specialist_auc,0.9102553898823194
